#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

FreezingLevel;FreezingLevel;;;
MiddleAndLowCloudCover;MiddleAndLowCloudCover;;;
ConvectiveCloudCover;ConvectiveCloudCover;;;
LowCloudCover;LowCloudCover;;;
MediumCloudCover;MediumCloudCover;;;
HighCloudCover;HighCloudCover;;;
CloudWater;CloudWater;;;
ConvectiveSnow;ConvectiveSnow;;;
LargeScaleSnow;LargeScaleSnow;;;
LandSeaMask;LandSeaMask;;;
ForestFraction;ForestFraction;;;
SurfaceRoughness;SurfaceRoughness;;;
Albedo;Albedo;;;
SoilTemperature;SoilTemperature;;;
SoilMoistureContent;SoilMoistureContent;;;
Vegetation;Vegetation;;;
GroundTemperature;GroundTemperature;;;
SurfaceSoilWetness;SurfaceSoilWetness;;;
LocationId;LocationId;;;
Year;Year;;;
Month;Month;;;
Day;Day;;;
Hour;Hour;;;
Minute;Minute;;;
Second;Second;;;
ForecastPeriod;ForecastPeriod;;;
ModelLevel;ModelLevel;;;
CloudCondensate;CloudCondensate;;;
TurbulentKineticEnergy;TurbulentKineticEnergy;;;
FlashLength;FlashLength;;;
FlashWidth;FlashWidth;;;
FlashDirection;FlashDirection;;;
FlashDuration;FlashDuration;;;
RadiationNetSurfaceSW;RadiationNetSurfaceSW;;;
RadiationNetSurfaceLW;RadiationNetSurfaceLW;;;
RadiationNetTopAtmSW;RadiationNetTopAtmSW;;;
RadiationNetTopAtmLW;RadiationNetTopAtmLW;;;
RadiationLW;RadiationLW;;;
RadiationSW;RadiationSW;;;
RadiationGlobal;RadiationGlobal;;;
RadiationReflected;RadiationReflected;;;
RadiationDownLWClearSky;RadiationDownLWClearSky;;;
LatentHeatFlux;LatentHeatFlux;;;
SensibleHeatFlux;SensibleHeatFlux;;;
BoundaryLayerDissipation;BoundaryLayerDissipation;;;
UMomentumFlux;UMomentumFlux;;;
VMomentumFlux;VMomentumFlux;;;
WeatherAndCloudiness;WeatherAndCloudiness;;;
FogIntensity;FogIntensity;;;
CloudSymbol;CloudSymbol;;;
LowCloudSymbol;LowCloudSymbol;;;
MediumCloudSymbol;MediumCloudSymbol;;;
HighCloudSymbol;HighCloudSymbol;;;
ConvCloudSymbol;ConvCloudSymbol;;;
FrontSymbol;FrontSymbol;;;
FogSymbol;FogSymbol;;;
SmogSymbol;SmogSymbol;;;
WeatherSymbol1;WeatherSymbol1;;;
WeatherSymbol2;WeatherSymbol2;;;
WeatherSymbol3;WeatherSymbol3;;;
SimpleWeather;SimpleWeather;;;
WindSpeedGeostr;WindSpeedGeostr;;;
WindSpeed10M;WindSpeed10M;;;
WindDirection10M;WindDirection10M;;;
Temperature2M;Temperature2M;;;
DewPoint2M;DewPoint2M;;;
Humidity2M;Humidity2M;;;
WindUMS10M;WindUMS10M;;;
WindVMS10M;WindVMS10M;;;
ShipDirection;ShipDirection;;;
ShipSpeed;ShipSpeed;;;
WeatherSymbol;WeatherSymbol;;;
ChillFactor;ChillFactor;;;
DegreeDays;DegreeDays;;;
Precipitation1h;Precipitation1h;;;
Precipitation3h;Precipitation3h;;;
Precipitation6h;Precipitation6h;;;
Precipitation12h;Precipitation12h;;;
Precipitation24h;Precipitation24h;;;
MaximumTemperature24h;MaximumTemperature24h;;;
MinimumTemperature24h;MinimumTemperature24h;;;
MaximumTemperature2m;MaximumTemperature2m;;;
MinimumTemperature2m;MinimumTemperature2m;;;
MinimumWind;MinimumWind;;;
Precipitation4h;Precipitation4h;;;
CloudTopBrightnessTemperature;CloudTopBrightnessTemperature;;;
