################################################################################
#
# This file is an extension for the 'parameterDef_fmi.csv' file. In this file
# we are definining FMI parameters that have the same name as the newbase
# parameters. 
#
# This means that we can easily map Newbase parameters to FMI parameters without 
# any conversion. We can even ignore the "standard" FMI parameters and use only 
# these names. 

# However, it is good to realize that there are good reasons why we use FMI parameter
# names in the first place. The point is that we try to harmonize and simplify 
# the parameter identification. 
#
# For example, it does not make sense that we have different parameter names for 
# temperature on different levels (temperature,temperature-2m, temperature-10m, etc.). 
# On the other hand we should have different parameter names for parameters that are 
# using different units. For example, a temperature parameter expressed in Kelvins is 
# a different parameter than a temperature parameter expressed in Celsius. So, if
# we just request a temperature parameter, we could get the temperature value
# in Kelvins, Celsius, Fahrenheit, etc. if we do not specify also the parameter
# unit.
#  
# So, in spite of that we are able to define all kinds of FMI parameter names,
# we should use these names only "special cases". 
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiParameterName
# 3) FmiParameterUnits
# 4) FmiParameterDescription
# 5) AreaInterpolationMethod
# 6) TimeInterpolationMethod
# 7) LevelInterpolationMethod
# 8) DefaultPrecision
#
#################################################################################
1000272;ConvectiveCloudCover;;;1;1;1;;
1000273;LowCloudCover;;;1;1;1;;
1000274;MediumCloudCover;;;1;1;1;;
1000275;HighCloudCover;;;1;1;1;;
1000276;CloudWater;;;1;1;1;;
1000278;ConvectiveSnow;;;1;1;1;;
1000279;LargeScaleSnow;;;1;1;1;;
1000281;LandSeaMask;;;1;1;1;;
1000282;ForestFraction;;;1;1;1;;
1000283;SurfaceRoughness;;;1;1;1;;
1000284;Albedo;;;1;1;1;;
1000285;SoilTemperature;;;1;1;1;;
1000286;SoilMoistureContent;;;1;1;1;;
1000287;Vegetation;;;1;1;1;;
1000288;GroundTemperature;;;1;1;1;;
1000289;SurfaceSoilWetness;;;1;1;1;;
1000290;LocationId;;;1;1;1;;
1000291;Year;;;1;1;1;;
1000292;Month;;;1;1;1;;
1000293;Day;;;1;1;1;;
1000294;Hour;;;1;1;1;;
1000295;Minute;;;1;1;1;;
1000296;Second;;;1;1;1;;
1000297;ForecastPeriod;;;1;1;1;;
1000298;ModelLevel;;;1;1;1;;
1000299;CloudCondensate;;;1;1;1;;
1000301;TurbulentKineticEnergy;;;1;1;1;;
1000305;FlashLength;;;1;1;1;;
1000306;FlashWidth;;;1;1;1;;
1000307;FlashDirection;;;1;1;1;;
1000308;FlashDuration;;;1;1;1;;
1000311;RadiationNetSurfaceSW;;;1;1;1;;
1000312;RadiationNetSurfaceLW;;;1;1;1;;
1000313;RadiationNetTopAtmSW;;;1;1;1;;
1000314;RadiationNetTopAtmLW;;;1;1;1;;
1000315;RadiationLW;;;1;1;1;;
1000316;RadiationSW;;;1;1;1;;
1000317;RadiationGlobal;;;1;1;1;;
1000318;RadiationReflected;;;1;1;1;;
1000319;RadiationDownLWClearSky;;;1;1;1;;
1000321;LatentHeatFlux;;;1;1;1;;
1000322;SensibleHeatFlux;;;1;1;1;;
1000323;BoundaryLayerDissipation;;;1;1;1;;
1000324;UMomentumFlux;;;1;1;1;;
1000325;VMomentumFlux;;;1;1;1;;
1000326;WeatherAndCloudiness;;;1;1;1;;
1000327;FogIntensity;;;1;1;1;;
1000328;CloudSymbol;;;1;1;1;;
1000329;LowCloudSymbol;;;1;1;1;;
1000330;MediumCloudSymbol;;;1;1;1;;
1000331;HighCloudSymbol;;;1;1;1;;
1000332;ConvCloudSymbol;;;1;1;1;;
1000333;FrontSymbol;;;1;1;1;;
1000334;FogSymbol;;;1;1;1;;
1000335;SmogSymbol;;;1;1;1;;
1000336;WeatherSymbol1;;;1;1;1;;
1000337;WeatherSymbol2;;;1;1;1;;
1000338;WeatherSymbol3;;;1;1;1;;
1000339;SimpleWeather;;;1;1;1;;
1000340;WindSpeedGeostr;;;1;1;1;;
1000341;WindSpeed10M;;;1;1;1;;
1000342;WindDirection10M;;;1;1;1;;
1000343;Temperature2M;;;1;1;1;;
1000344;DewPoint2M;;;1;1;1;;
1000345;Humidity2M;;;1;1;1;;
1000346;WindUMS10M;;;1;1;1;;
1000347;WindVMS10M;;;1;1;1;;
1000348;ShipDirection;;;1;1;1;;
1000349;ShipSpeed;;;1;1;1;;
1000350;WeatherSymbol;;;1;1;1;;
1000351;ChillFactor;;;1;1;1;;
1000352;DegreeDays;;;1;1;1;;
1000353;Precipitation1h;;;1;1;1;;
1000354;Precipitation3h;;;1;1;1;;
1000355;Precipitation6h;;;1;1;1;;
1000356;Precipitation12h;;;1;1;1;;
1000357;Precipitation24h;;;1;1;1;;
