# This file is used in order to map units used in grib_api to "more standard units".
# In addition, this file defines preferred interpolation methods for each unit. These
# preferred interpolation methods are used in the data queries if no other interpolation 
# methods are defined.  
#
# FIELDS
# [0] Original units (found from grib_api)
# [1] Preferred units (these should be updated)
# [2] Preferred interpolation method (1=interpolated , 2=closest value)
#
ppb;ppb;1;
proportion;proportion;1;
Proportion;Proportion;1;
psuperday;psuperday;1;
psu per time step;psu per time step;1;
psu;psu;1;
radians;radians;1;
rad;rad;1;
Reserved;Reserved;1;
s-1 m-2;s-1 m-2;1;
s**-1 m**-2;s**-1 m**-2;1;
s-1;s-1;1;
s**-1;s**-1;1;
s2 m-2;s2 m-2;1;
s-2;s-2;1;
s**-2;s**-2;1;
(s m**-1)**-1;(s m**-1)**-1;1;
s m-1;s m-1;1;
s m**-1;s m**-1;1;
s/m;s/m;1;
s;s;1;
table 4.21C.t.h.q.i.;table 4.21C.t.h.q.i.;2;
table (4.2 C.e.t.);table (4.2 C.e.t.);2;
table (4.2 C. i.);table (4.2 C. i.);2;
table 4.2 E.e.s.c.t.;table 4.2 E.e.s.c.t.;2;
table (4.2 Land use);table (4.2 Land use);2;
table (4.2 P.b.l.r.);table (4.2 P.b.l.r.);2;
table 4.2 R.s.s.c.;table 4.2 R.s.s.c.;2;
table (4.2 Turb.);table (4.2 Turb.);2;
table (4.2 Volc.ash);table (4.2 Volc.ash);2;
ug/m**3;ug/m**3;1;
Various;Various;2;
W/kg;W/kg;1;
W m-1 s-1;W m-1 s-1;1;
W m**-1 sr**-1;W m**-1 sr**-1;1;
W m**-2 s**-1;W m**-2 s**-1;1;
W m-2;W m-2;1;
W m**-2;W m**-2;1;
W/m2;W/m2;1;
W m**-3 sr**-1;W m**-3 sr**-1;1;
W/m3/sr;W/m3/sr;1;
W m sr m-2;W m sr m-2;1;
W m sr m**-2;W m sr m**-2;1;
W/m/sr;W/m/sr;1;
W;W;1;
