# This file is automatically generated by the 'radon2config' program. It defines FMI parameters used
# in the Radon database.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiParameterId
# 2) NewbaseParameterId
# 3) ConversionFunction
#

# Minimum temperature at 2m since previous post-processing
# MINT2M-C => UNKNOWN
# ISCB1-N => UNKNOWN
109;0;;

#  for metars
# ISCB2-N => UNKNOWN
110;0;;

#  for metars
# ISCB3-N => UNKNOWN
111;0;;

#  for metars
# ISCB4-N => UNKNOWN
112;0;;

#  for metars
# VVERT-M => UNKNOWN
113;0;;

# Length of flash ellipse axle
# FL-LEN-M => UNKNOWN
114;0;;

# Width of flash ellipse axle
# FL-WID-M => UNKNOWN
115;0;;

# Direction of flash ellipse
# FL-DIR-D => UNKNOWN
116;0;;

# Flash duration in milliseconds
# FL-DUR-MS => UNKNOWN
117;0;;

# Forest fire warning: 0-no, 1-grass, 2-forest1
# FFWARN-N => UNKNOWN
118;0;;

# concentration dans l'air de polluant 
# CONCENTAIR => UNKNOWN
119;0;;

# Total Precipitation over the last 12 hours
# RAIN12 => UNKNOWN
120;0;;

# Total Precipitation over the last 6 hours
# RAIN_6 => UNKNOWN
121;0;;

# Maximum Temperature in Celsius
# TMAX-C => MaximumTemperature
122;5;;

# Minimum Temperature in Celsius
# TMIN-C => MinimumTemperature
123;6;;

# Ground Temperature in Celcius
# TG-C => UNKNOWN
124;0;;

# Temperature Anomaly in Celsius
# TANM-C => UNKNOWN
125;0;;

# TAF Weather Symbol
# WWTAF-N => UNKNOWN
126;0;;

# CB Cloud cover in %
# CB-PRCNT => CbCloudCover
127;509;;

# 2. Cloud Cover in %
# CL2-PRCNT => UNKNOWN
129;0;;

# Emergency center task code
# HAKECODE-N => UNKNOWN
130;0;;

# 3. Cloud Cover in %
# CL3-PRCNT => UNKNOWN
131;0;;

# Friction velocity
# FRVEL-MS => NEWBASE-PARAMETER[225]
132;225;;

# 4. Cloud Cover in %
# CL4-PRCNT => UNKNOWN
133;0;;

# 1. Cloud Cover in %
# CL1-PRCNT => UNKNOWN
134;0;;

# Diffuse shortwave radiation
# RDIFSW-WM2 => RadiationReflected
135;318;;

# CB Cloud Height in Meters
# CB-M => UNKNOWN
136;0;;

# ALBEDO 0 to 1
# ALBEDO-0TO1 => Albedo
137;284;;

# Specific Humidity in kg/kg
# Q-KGKG => SpecificHumidity
138;12;;

# Pressure in Pascals
# P-PA => Pressure
139;1;MUL{$,0.010000}

# Pressure in Pascals
# P-PA => PressureAtStationLevel
139;472;MUL{$,0.010000}

# Land Cover, 1=land, 0=sea
# LC-0TO1 => LandSeaMask
143;281;;

# Vertical Velocity in hPa/s
# VV-HPAS => UNKNOWN
144;0;;

# Pressure Tendency)
# PTD-N => UNKNOWN
145;0;;

# Surface Roughness in Meters
# SR-M => SurfaceRoughness
146;283;;

# Soil Moisture Content in Kg per square meter
# SM-KGM2 => SoilMoistureContent
147;286;;

# Ice Cover, 1=ice, 0=no ice
# IC-0TO1 => IceConcentration
148;384;MUL{$,100.000000}

# Ice Cover, 1=ice, 0=no ice
# IC-0TO1 => IceCover
148;532;;

# Forest Cover, 1=Forest, 0=No Forest
# FC-0TO1 => ForestFraction
149;282;;

# Speed of the Ship in Meters per Second
# VS_MS => UNKNOWN
152;0;;

# Temperature in Kelvins
# T-K => Temperature
153;4;SUM{$,-273.15}

# Temperature in Celsius
# T-C => Temperature
154;4;;

# Pressure Delta in Pascals)
# PD-PA => UNKNOWN
156;0;;

# Geopotential
# Z-M2S2 => GeopHeight
158;2;MUL{$,0.102000}

# Geopotential
# Z-M2S2 => GeopHeight
158;2;;

# Geopotential
# Z-M2S2 => GeomHeight
158;3;MUL{$,0.010200}

# Pseudoadiabatic potential temperature in K
# TPW-K => PseudoAdiabaticPotentialTemperature
159;9;SUM{$,-273.15}

# Dew point Temperature in 10ths of C
# TD-C10 => UNKNOWN
160;0;;

# Dew point Temperature in C
# TD-C => DewPoint
161;10;;

# Dew point Temperature in K
# TD-K => DewPoint
162;10;SUM{$,-273.15}

# Relative Humidity in percents
# RH-PRCNT => Humidity
163;13;MUL{$,100.000000}

# Cloud Symbol
# CLDSYM-N => CloudSymbol
164;328;;

# Wind speed in m/s
# FF-MS => WindSpeedMS
166;21;;

# Wind speed in m/s
# FF-MS => SoundingWindSpeed1500m
166;4774;;

# Wind Direction in Degrees
# DD-D => WindDirection
169;20;;

# U wind in m/s
# U-MS => WindUMS
171;23;;

# V wind in m/s
# V-MS => WindVMS
174;24;;

# Vertical Velocity in mm/s
# VV-MMS => VerticalVelocityMMS
175;43;;

# Vertical Velocity in cb/s
# VV-CBS => UNKNOWN
176;0;;

# Vertical Velocity in pa/s
# VV-PAS => VelocityPotential
177;39;MUL{$,100.000000}

